ts,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-01-04T01:16:37-05:00,basic-kernel-1,0.11%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:17:40-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:17:40-05:00,basic-backend-1,0.00%,25MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:17:40-05:00,basic-kernel-1,0.08%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:18:42-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:18:42-05:00,basic-backend-1,0.00%,25MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:18:42-05:00,basic-kernel-1,0.11%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:19:44-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:19:44-05:00,basic-backend-1,0.00%,25MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:19:44-05:00,basic-kernel-1,0.11%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:20:47-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:20:47-05:00,basic-backend-1,0.00%,25.01MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:20:47-05:00,basic-kernel-1,0.10%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:21:50-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.92kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:21:50-05:00,basic-backend-1,0.00%,25.28MiB / 7.659GiB,0.32%,1.69kB / 769B,3.28MB / 4.1kB,23
2026-01-04T01:21:50-05:00,basic-kernel-1,0.09%,45.89MiB / 7.659GiB,0.59%,4.32kB / 2.36kB,17.9MB / 0B,17
2026-01-04T01:22:52-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:22:52-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:22:52-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:23:54-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:23:54-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:23:54-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:24:57-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:24:57-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:24:57-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:26:00-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:26:00-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:26:00-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
